balm,香油，药膏；镇痛剂,[bɑ:m],n.
balmy,(气候)温和的；芳香的,['bɑ:mi],a.
bamboozle,欺骗，隐瞒,[bæm'bu:zl],v.
ban,禁令,[bɑ:n],n.
banal,陈腐的,[bə'nɑ:l],a.
band,带子；收音机波段,[bænd],n.
bandage,用绷带包扎,['bændidʒ],n.
bandy,来回抛球；轻率谈论,['bændi],v.
bane,祸根,[bein],n.
banish,放逐某人,['bæniʃ],v.
banister,(楼梯的)栏杆,['bænistə],n.
bankrupt,破产的,['bæŋkrʌpt],a.
banquet,宴会，盛宴,['bæŋkwit],n.
banter,打趣，玩笑,['bæntə],n.
bar,条，棒；酒吧,[bɑ:(r)],v.
barb,(鱼钩的)倒钩；严厉的批评,[bɑ:b],n.
barbarian,粗鲁的,[bɑ:'beəri:ən],n.
barbarous,野蛮的；残暴的,['bɑ:bərəs],a.
barbecue,烤肉架；烤肉,['bɑ:bikju:],n.
barcode,barcode 条形码,,
bard,吟游诗人,[bɑ:d],n.
bare,赤裸的,[beə],v.
barefaced,厚颜无耻的，公然的,[beə'feist],a.
bargain,讨价还价,['bɑ:ɡin],n.
barge,平底货船，驳船,[bɑ:dʒ],n.
bark,树皮,[bɑ:k],v.
barn,谷仓,[bɑ:n],n.
baron,贵族; 巨头,['bærən],n.
baroque,(艺术、建筑等)过分雕琢(的)；（艺术）巴洛克,[bə'rəuk],n.
barrage,弹幕,['bærɑ:ʒ],n.
barren,不育的；贫瘠的；不结果实的,['bærən],a.
barricade,栅栏,[ˌbæri'keid],v.
barrier,路障；障碍,['bæriə],n.
barrister,讼务；律师,['bæristə],n.
barter,易货贸易,['bɑ:tə],v.
base,卑鄙的,[beis],a.
bask,晒太阳，取暖,[bɑ:sk],v.
bassoon,低音管，巴松管,[bə'su:n],n.
baste,倒油脂于(烤肉上，以防烤干),[beist],v.
batch,一批，一炉,[bætʃ],n.
bather,入浴者，浴疗者,['beiðə(r)],n.
bathetic,假作悲伤的；陈腐的,[bə'θetik],a.
baton,指挥棒(指挥家用)；警棍,['bætən],n.
battalion,军营，军队,[bə'tæljən],n.
bauble,花哨的小玩意儿；没价值的东西,['bɔ:bl],n.
bauxite,铝土岩(产铝的矿土、石),['bɔ:ksait],n.
bawdy,淫猥的，好色的,['bɔ:di],a.
bawl,大叫，大喊,[bɔ:l],v.
bazaar,集市，商店集中区,[bə'zɑ:],n.
beacon,烽火；灯塔,['bi:kən],n.
beam,(房屋等)大梁；光线,[bi:m],n.
bearing,关系，意义；方位,['beəriŋ],n.
beat,心跳；搅拌,[bi:t],v.
beatific,祝福的，快乐的,[ˌbi:ə'tifik],a.
beckon,召唤某人，示意,['bekən],v.
bedeck,装饰，修饰,[bi'dek],v.
bedizen,把„装饰得艳丽而俗气,[bi'daizn],v.
bedlam,混乱，骚乱,['bedləm],n.
bedraggled,弄湿的；凌乱不堪的,[bi'dræɡ(ə)ld],a.
beet,甜菜,[bi:t],n.
befoul,弄脏，污蔑中伤,[bi'faul],v.
befuddle,使迷惑，使为难；使酒醉昏迷,[bi'fʌdl],v.
befuddlement,迷惑不解,[bi'fʌdəlmənt],n.
beget,产生，引起,[bi'ɡet],v.
begrudge,吝啬，勉强给,[bi'ɡrʌdʒ],v.
beguile,欺骗，诱骗,[bi'ɡail],v.
behold,目睹，看见,[bi'həuld],v.
beholden,感激某人的；欠人情的,[bi'həuldən],a.
beholder,目睹者，旁观者,[bi'həuldə(r)],n.
behoove,理应，有义务,[bi'həuv],v.
behoove,应该，有必要；适宜,[biˈhəuv],v.
belabor,过分冗长地做或说；痛打,[bi'leibə],v.
belated,来得太迟的,[bi'leitid],a.
belch,打嗝；(火山)喷出,[beltʃ],n.
beleaguer,围攻；骚扰,[bi'li:ɡə],v.
belie,掩饰；证明为假,[bi'lai],v.
belittle,轻视，贬抑,[bi'litl],v.
bellicose,好战的，好斗的,['beləkəus],a.
belligerence,交战；好战性，斗争性,[bi'lidʒərəns],n.
bellwether,领导者，领头羊,['belˌweðə],n.
belongings,所有物，财产,[bi'lɔŋiŋz],n.
bemused,茫然的，困惑的,[bi'mju:zd],a.
bench,法官席；长凳,[bentʃ],n.
bend,弯曲；屈服,[bend],v.
benediction,祝福；祈祷,[beni'dikʃən],n.
benefactor,行善者，捐助者,['benifæktə],n.
benevolent,善心的，仁心的,[bi'nevələnt],a.
benign,慈祥的,[bi'nain],a.
benison,祝福，赐福,['benizn],n.
bent,弯曲的,[bent],n.
bequeath,遗赠,[bi'kwi:ð],v.
bequest,遗产，遗赠物,[bi'kwest],n.
berate,猛烈责骂,[bi'reit],v.
bereave,丧亲，夺去,[bi'ri:v],v.
bereft,被剥夺的；缺少的,[bi'reft],a.
berserk,狂怒的，疯狂的,[bə(:)'sə:k],a.
beset,镶嵌；困扰,[bi'set],v.
besiege,围攻，困扰,[bi'si:dʒ],v.
besmirch,诽谤,[bi'smə:tʃ],v.
besot,使沉醉，使糊涂,[bi'sɔt],v.
