expiate,赎罪，补偿,['ekspieit],v.
expiation,赎罪，补偿,[ˌekspi'eiʃən],n.
expiration,期满，终止,[ˌekspaiə'reiʃən],n.
expire,期满；去世,[iks'paiə],v.
explicable,可解释的,['eksplikəbl],a.
explicate,详细解说（思想、作品等）,['eksplikeit],v.
explicit,清楚明确的；成熟的，成型的,[iks'plisit],a.
exploit,英勇行为,[iks'plɔit],v.
explosive,(化)爆炸性的；使人冲动的,[iks'pləusiv],n.
exponent,说明者，支持者；指数,[eks'pəunənt],n.
exponentially,指数地；迅速增长地,[ˌekspəu'nenʃəli],adv.
exposition,详细阐释；博览会,[ˌekspə'ziʃən],n.
expository,说明的,[iks'pɔziˌtəri],a.
expostulate,(对人或行为进行)抗议,[iks'pɔstjuleit],v.
exposure,暴露，显露，曝光,[iks'pəuʒə],n.
expound,解释，详细阐述,[iks'paund],v.
expressly,清楚地；专门地，特意地,[iks'presli],adv.
expropriate,充公；没收,[eks'prəuprieit],v.
expulsion,驱逐，开除,[iks'pʌlʃən],n.
expunge,(从书中)删除(字、词),[eks'pʌndʒ],v.
expurgate,(从书中)删除(不当或令人反感的部分),['ekspə:ɡeit],v.
exquisite,精致的；近乎完美的,['ekskwizit],a.
extant,现存的,[eks'tænt],a.
extemporaneous,即兴的，没有准备的,[eksˌtempə'reinjəs],a.
extemporize,即兴席演说,[eks'tempəraiz],v.
extend,延展，延长；舒展（肢体）,[iks'tend],v.
extenuate,（提出借口以）减轻罪过,[iks'tenjueit],v.
exterminate,消灭，灭绝(种族、人、动物),[iks'tə:mineit],v.
externalize,使„表面化,[eks'tə:nəˌlaiz],v.
extinct,绝种的，不存在的,[iks'tiŋkt],a.
extinction,熄灭；消灭,[iks'tiŋkʃən],n.
extinguish,使„熄灭；使„不复存在,[iks'tiŋɡwiʃ],v.
extirpation,根除，铲除（某实物或现象）,[ˌekstə'peiʃn],n.
extol,赞美,[iks'tɔl],v.
extort,强索，敲诈(钱),[iks'tɔ:t],v.
extract,拔出；强索(钱或信息),[iks'træktˌ 'ekstrækt],v.
extradite,引渡回国，拿获归案,['ekstrədait],v.
extraneous,来自外部的；无关的,[eks'treinjəs],a.
extrapolate,由已知事实预测，推测；(数)由已知值推出未知量,[eks'træpəleit],v.
extravagance,奢侈，挥霍,[ik'strævəɡəns],n.
extremist,极端主义者,[iks'tri:mist],n.
extricable,可解救的，能脱险的,['ekstrikəbl],a.
extricate,拯救，救出,['ekstrikeit],v.
extrinsic,外来的，外在的，外部的,[eks'trinsik],a.
extrovert,性格外向者,['ekstrəuvə:t],n.
extrude,挤出，逐出；突出,[eks'tru:d],v.
exuberance,(人)愉快；(植物)茁壮，茂盛,[iɡ'zju:bərəns],n.
exuberant,(人)充满活力的；(植物)茂盛的,[iɡ'zju:bərənt],a.
exude,(液体)使慢慢流出；四溢,[iɡ'zju:d],v.
exult,欢腾，喜悦,[iɡ'zʌlt],v.
exultant,非常高兴的，欢跃的,[iɡ'zʌltənt],a.
fabric,纺织品；结构,['fæbrik],n.
fabricate,捏造；制造,['fæbrikeit],v.
fabulous,难以置信的；寓言里的,['fæbjuləs],a.
facade,建筑物的正面；(虚伪)外表,[fə'sɑ:d],n.
facet,(宝石等的)小平面；侧面,['fæsit],n.
facetious,（不当）轻浮的，好开玩笑的,[fə'si:ʃəs],a.
facile,容易做成的；肤浅的,['fæsail],a.
facilitate,使容易，促进,[fə'siliteit],v.
facilities,(使事情便利的)设备、工具,[fə'silətiz],n.
facsimile,复制本，摹本,[fæk'simili],n.
faction,派系；派系斗争,['fækʃən],n.
factitious,人为的，不真实的,[fæk'tiʃəs],a.
factorable,能分解成因子的,[fæk'tɔrəbl],a.
factotum,杂役，杂工,[fæk'təutəm],n.
factual,真实的，事实的,['fæktjuəl],a.
faculty,全体教员；感官功能,['fækəlti],n.
fad,(流行一时的)狂热，时尚,[fæd],n.
faddish,流行一时的，时尚的,['fædiʃ],a.
fade,褪色，消失，凋谢,[feid],v.
fag,苦工,[fæɡ],v.
fail-safe,自动防故障装置,[feil'seif],n.
fainthearted,懦弱的，无精神的；胆小的,['feint'hɑ:tid],a.
fair-minded,公平的，公正的,['feə'maindid],a.
fake,伪造；佯装,[feik],v.
falcon,猎鹰；隼,['fælkən],n.
fallacious,欺骗的；谬误的,[fə'leiʃəs],a.
fallacy,谬误，错误,['fæləsi],n.
fallibility,易于出错，出错性,[ˌfæli'biliti],n.
fallible,（人）会犯错的，易犯错的,['fæləbl],a.
fallow,(土地)休耕的,['fæləu],n.
falsehood,谎言,['fɔ:lshud],n.
falsify,篡改；说谎,['fɔ:lsiˌfai],v.
falter,摇晃，蹒跚；结巴地说，支吾地说,['fɔ:ltə],v.
familiarity,精通；亲近；不拘礼仪,[fəˌmili'æriti],n.
famine,饥荒,['fæmin],n.
famish,使饥饿,['fæmiʃ],v.
fanatic,狂热者,[fə'nætik],n.
fancied,空想的，虚构的,['fænsid],a.
fanfare,夸耀性游行；嘹亮的喇叭声,['fænfeə],n.
fang,(毒蛇的)尖牙,[fæŋ],n.
fantasia,幻想曲；组合乐曲,[fæn'teizjə],n.
fantasy,想象，幻想,['fæntəsi],n.
far-reaching,影响深远的,[fɑ:'ri:tʃiŋ],a.
farce,闹剧；荒谬，胡闹,[fɑ:s],n.
farewell,辞行，告别,['feə'wel],interj.
farrow,一窝小猪,['færəu],v.
fascia,饰带；(商店上挂的)招牌,['fæʃiə],n.
fascinate,迷惑，迷住,['fæsineit],v.
fast,很快地，紧紧地,[fɑ:st],n.
